id,domain,intent,user_query,response,source,split
21,Finance,cash_withdrawal,The ATM did not give me cash (request 70),"If your account was debited, keep the ATM receipt or transaction details and contact your bank immediately for investigation.",curated_project_dataset,validation
22,Healthcare,medication_information,Can you help me with this? How should I learn about my prescribed medicine?,"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,train
23,E-commerce,product_information,Where can I find product specifications?,Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,validation
24,Finance,transfer_pending,Why is my transfer still pending? (request 34),A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,validation
25,Finance,transfer_pending,Please help me: My bank transfer has not completed. Can you guide me?,"Please check the transfer status and expected processing time. If it remains pending longer than expected, contact your bank.",curated_project_dataset,train
26,Healthcare,appointment_booking,Can I make an appointment for tomorrow? (request 99),"Yes, if appointments are available. Please select the doctor and check tomorrow's available time slots.",curated_project_dataset,train
27,Healthcare,health_insurance,Does my health insurance cover this treatment? (request 73),"Coverage depends on your insurance plan, provider network, and policy terms. Check your policy or contact your insurer for confirmation.",curated_project_dataset,validation
28,E-commerce,track_order,My order has not arrived yet (request 72),"Please check the latest tracking update first. If the expected delivery date has passed, contact customer support with your order number.",curated_project_dataset,train
29,E-commerce,cancel_order,I want to cancel my order (request 89),"If the order has not shipped, you may be able to cancel it from your order details. Once shipped, cancellation may no longer be available.",curated_project_dataset,validation
30,E-commerce,cancel_order,How do I stop an order before it ships? (request 44),Open your order details and select cancellation if the option is still available.,curated_project_dataset,train
31,Healthcare,appointment_booking,I want to see a doctor (request 44),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,test
32,E-commerce,return_order,I want to return something I bought (request 42),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train
33,E-commerce,return_order,What is the process for returning an item? (request 12),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,train
34,Healthcare,medication_information,Can you give me information about a medicine? (request 38),"Please provide the medicine name. I can give general information, but medication decisions should be confirmed with a qualified healthcare professional.",curated_project_dataset,test
35,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 79),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,validation
36,Healthcare,health_insurance,Please help me: Does my health insurance cover this treatment?,"Coverage depends on your insurance plan, provider network, and policy terms. Check your policy or contact your insurer for confirmation.",curated_project_dataset,train
37,E-commerce,delivery_time,When will my order be delivered? (request 57),The estimated delivery date is usually shown in your order details and may depend on your location and shipping method.,curated_project_dataset,validation
38,Healthcare,appointment_reschedule,How can I change my consultation date? (request 68),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,train
39,Healthcare,appointment_cancel,I need to cancel my doctor's appointment (request 46),Please open your appointment details and select the cancellation option. Check the provider's cancellation policy for any applicable conditions.,curated_project_dataset,train
40,Healthcare,appointment_cancel,How do I cancel my appointment? (request 81),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
41,Finance,cash_withdrawal,I could not withdraw cash (request 57),"Check whether your card is active and whether you have sufficient available balance. If the ATM charged you without dispensing cash, contact your bank promptly.",curated_project_dataset,train
42,Finance,fraud_transaction,Someone may have used my card. Can you guide me?,"Contact your card issuer immediately using the official number or app, secure your account, and follow the issuer's instructions for reporting suspected fraud.",curated_project_dataset,train
43,Healthcare,health_insurance,Does my health insurance cover this treatment? (request 37),"Coverage depends on your insurance plan, provider network, and policy terms. Check your policy or contact your insurer for confirmation.",curated_project_dataset,train
44,Finance,cash_withdrawal,My ATM transaction failed (request 76),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train
45,Healthcare,appointment_booking,I need to schedule a consultation (request 30),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,train
46,Healthcare,medication_information,Can you give me information about a medicine? (request 30),"Please provide the medicine name. I can give general information, but medication decisions should be confirmed with a qualified healthcare professional.",curated_project_dataset,train
47,Healthcare,appointment_cancel,How do I cancel my appointment? (request 73),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
48,E-commerce,refund,How does a product refund work? (request 47),"After the return or cancellation is approved, the refund is generally processed to the original payment method, subject to the seller's policy.",curated_project_dataset,validation
49,E-commerce,return_order,Can I return my product? (request 59),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train
50,Finance,transfer_pending,I want to know: My money transfer is pending. Can you guide me?,Pending transfers can take time depending on the bank and transfer type. Please check the transaction status and contact your bank if it remains pending beyond the expected processing period.,curated_project_dataset,train
51,Healthcare,health_insurance,How can I check my medical insurance coverage? (request 66),Review your policy documents or contact the insurer using the official customer-service channel to confirm coverage.,curated_project_dataset,train
52,Finance,credit_card,Can you help me with this? How can I apply for a credit card? Can you guide me?,Credit-card eligibility and application requirements vary by issuer. Check the issuer's official application process and terms.,curated_project_dataset,validation
53,Healthcare,emergency_guidance,What should I do in a medical emergency? (request 25),"For a serious or life-threatening emergency, seek immediate emergency medical care or contact your local emergency service. Do not rely on a chatbot for emergency treatment.",curated_project_dataset,train
54,Finance,transaction_issue,My transaction looks incorrect (request 66),"Please verify the amount, date, and transaction details. If you do not recognize or agree with the transaction, contact your bank promptly.",curated_project_dataset,train
55,E-commerce,payment_failed,Why was my online payment declined? (request 30),"A payment can fail because of incorrect details, bank restrictions, insufficient funds, or security checks. Contact your bank if the problem continues.",curated_project_dataset,train
56,Finance,card_payment,My card payment was declined (request 77),"Check your card status, available funds, payment details, and any bank security restrictions. Contact your bank if the decline continues.",curated_project_dataset,train
57,E-commerce,return_order,What is the process for returning an item? (request 96),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,test
58,Finance,balance_inquiry,Can I check my balance online? (request 28),Yes. Most banks provide balance information through their official online banking or mobile application.,curated_project_dataset,validation
59,E-commerce,refund,Please help me: I want to know my refund status.,Please provide your order details or check the refund section of your account for the latest status.,curated_project_dataset,train
60,Healthcare,emergency_guidance,What should I do in a medical emergency? (request 57),"For a serious or life-threatening emergency, seek immediate emergency medical care or contact your local emergency service. Do not rely on a chatbot for emergency treatment.",curated_project_dataset,train
61,E-commerce,product_information,I need help with this: Where can I find product specifications?,Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,train
62,Finance,card_payment,Why did my card payment fail? (request 34),"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,train
63,Finance,card_payment,My card payment was declined (request 41),"Check your card status, available funds, payment details, and any bank security restrictions. Contact your bank if the decline continues.",curated_project_dataset,train
64,Healthcare,appointment_reschedule,Can I change my appointment time? (request 85),"Yes. If another slot is available, you can reschedule the appointment from your booking details.",curated_project_dataset,train
65,Healthcare,prescription,How do I view my prescription? (request 36),"If your provider offers online records, sign in to your healthcare account and open the prescription or medication section.",curated_project_dataset,validation
66,Healthcare,appointment_booking,I need to schedule a consultation (request 70),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,train
67,Finance,card_payment,My debit card payment did not work (request 100),"Please check your card balance and status. If the issue continues, contact your bank for assistance.",curated_project_dataset,test
68,Healthcare,medical_report,Can you help me with this? Where can I see my medical report?,"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,validation
69,Healthcare,health_insurance,Does my health insurance cover this treatment? (request 85),"Coverage depends on your insurance plan, provider network, and policy terms. Check your policy or contact your insurer for confirmation.",curated_project_dataset,test
70,Finance,fraud_transaction,There is a suspicious transaction on my account (request 83),Review the transaction and report it to your bank promptly if you did not authorize it. Use only official banking contact channels.,curated_project_dataset,train
71,Finance,balance_inquiry,What is my account balance? (request 29),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train
72,Finance,fraud_transaction,I do not recognize a transaction. Can you guide me?,"If you do not recognize a transaction, contact your bank or card issuer through its official channel immediately and follow its fraud-reporting process.",curated_project_dataset,train
73,E-commerce,damaged_product,What should I do if my item is damaged? (request 90),"Keep the product and packaging, document the damage with photos, and submit a damage claim or return request through the order details.",curated_project_dataset,train
74,E-commerce,return_order,I need help with this: Can I return my product?,"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train
75,E-commerce,refund,I need help with this: How does a product refund work?,"After the return or cancellation is approved, the refund is generally processed to the original payment method, subject to the seller's policy.",curated_project_dataset,train
76,Finance,transfer_pending,Why is my transfer still pending? (request 42),A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,train
77,Finance,credit_card,How can I apply for a credit card? (request 25),Credit-card eligibility and application requirements vary by issuer. Check the issuer's official application process and terms.,curated_project_dataset,train
78,E-commerce,account_issue,My account is not working (request 92),"Try signing out and back in or resetting your password. If the problem continues, contact customer support.",curated_project_dataset,validation
79,Finance,transfer_failed,My money transfer failed (request 77),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train
80,E-commerce,account_issue,How do I update my account details? (request 51),"Open your account settings and edit the available profile information, then save the changes.",curated_project_dataset,train
81,Finance,transaction_issue,I need help with a bank transaction (request 28),Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,test
82,E-commerce,wrong_product,My order contains a different product (request 30),Start a return or replacement request for the incorrect item and follow the seller's instructions.,curated_project_dataset,validation
83,Healthcare,lab_test,I need information about a medical test (request 96),"Please provide the test name. Preparation, timing, and interpretation can vary by test.",curated_project_dataset,validation
84,E-commerce,damaged_product,The package arrived damaged (request 40),Document the package condition and contact customer support or the seller with your order number and photos.,curated_project_dataset,train
85,Finance,credit_card,What is my credit card limit? (request 90),"Your current credit limit is available through your card issuer's official app, online account, statement, or customer service.",curated_project_dataset,train
86,Healthcare,emergency_guidance,This feels like an emergency (request 48),"Please seek immediate emergency medical assistance. If possible, have someone stay with you while help is arranged.",curated_project_dataset,train
87,E-commerce,account_issue,I cannot access my shopping account (request 65),"Use the account recovery or password-reset option. If you still cannot sign in, contact customer support through the official channel.",curated_project_dataset,train
88,Finance,transfer_failed,My money transfer failed (request 29),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train
89,Healthcare,medical_report,Can you help me with this? I received my test report. What does it mean?,"Please discuss the report with your healthcare professional, who can interpret the findings using your clinical history and examination.",curated_project_dataset,train
90,Finance,loan_information,I need information about a personal loan (request 54),"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train
91,Finance,transfer_failed,I need help with this: The transfer was unsuccessful. Can you guide me?,Please review the transaction details and any error message. Your bank can provide the exact reason if the transaction was rejected.,curated_project_dataset,train
92,Finance,bank_account,How do I open a bank account? (request 53),"Account-opening requirements vary by bank. Check the bank's official website or branch for eligibility, documents, and application steps.",curated_project_dataset,validation
93,Finance,transfer_pending,Why is my transfer still pending? (request 38),A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,test
94,Finance,balance_inquiry,How can I check my balance? (request 50),Use your bank's official app or online banking service to view your current account balance.,curated_project_dataset,train
95,Finance,loan_information,I need information about a personal loan (request 50),"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train
96,E-commerce,account_issue,My account is not working (request 96),"Try signing out and back in or resetting your password. If the problem continues, contact customer support.",curated_project_dataset,train
97,Healthcare,symptoms_information,Can you tell me what my symptoms mean? (request 6),Symptoms can have many possible causes. Please consult a healthcare professional for an appropriate evaluation rather than relying on a chatbot for diagnosis.,curated_project_dataset,validation
98,Finance,fraud_transaction,I do not recognize a transaction (request 77),"If you do not recognize a transaction, contact your bank or card issuer through its official channel immediately and follow its fraud-reporting process.",curated_project_dataset,test
99,E-commerce,payment_failed,My card payment did not go through (request 36),Please verify your card details and contact your bank if the transaction continues to be declined.,curated_project_dataset,train
100,Finance,bank_account,I want to know: How do I open a bank account? Can you guide me?,"Account-opening requirements vary by bank. Check the bank's official website or branch for eligibility, documents, and application steps.",curated_project_dataset,train
101,Finance,balance_inquiry,What is my account balance? (request 37),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train
102,Healthcare,medication_information,I want information about my medication (request 68),Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train
103,Healthcare,appointment_cancel,How do I cancel my appointment? (request 85),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,test
104,E-commerce,refund,I want to know: My refund has not arrived.,"Please check the refund status and original payment method. If the stated processing period has passed, contact customer support with your order details.",curated_project_dataset,train
105,E-commerce,refund,I need help with this: My refund has not arrived.,"Please check the refund status and original payment method. If the stated processing period has passed, contact customer support with your order details.",curated_project_dataset,test
106,E-commerce,damaged_product,I received a broken product (request 59),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train
107,Finance,lost_or_stolen_card,I lost my bank card I need help with this.,"If your card is lost or stolen, block it immediately through your bank's official app or contact the bank's customer support.",curated_project_extension,train
108,E-commerce,delivery_time,Do you offer fast delivery? (request 56),"Available delivery speeds depend on the product, seller, location, and shipping options shown at checkout.",curated_project_dataset,train
109,E-commerce,product_information,How can I get information about a product? (request 45),"Open the product page to view its description, specifications, availability, price, and seller information.",curated_project_dataset,train
110,Healthcare,appointment_booking,How can I book a doctor appointment? (request 49),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train
111,E-commerce,payment_failed,Why was my online payment declined? (request 34),"A payment can fail because of incorrect details, bank restrictions, insufficient funds, or security checks. Contact your bank if the problem continues.",curated_project_dataset,train
112,Finance,credit_card,I want to know: How do I pay my credit card bill? Can you guide me?,"You can usually pay through the issuer's official app, online banking, bank transfer, or another supported payment method.",curated_project_dataset,train
113,Healthcare,prescription,Where can I find my prescription? (request 57),Your prescription may be available in your healthcare account or provided by your doctor. Check your medical records or contact the clinic.,curated_project_dataset,train
114,Finance,balance_inquiry,How can I check my balance? (request 62),Use your bank's official app or online banking service to view your current account balance.,curated_project_dataset,test
115,Healthcare,prescription,I need help with this: Where can I find my prescription?,Your prescription may be available in your healthcare account or provided by your doctor. Check your medical records or contact the clinic.,curated_project_dataset,train
116,E-commerce,payment_failed,I want to know: My card payment did not go through.,Please verify your card details and contact your bank if the transaction continues to be declined.,curated_project_dataset,test
117,Healthcare,appointment_booking,Please help me: I need to schedule a consultation.,Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,train
118,E-commerce,delivery_time,Can I know the expected delivery date? (request 79),Yes. Check your order details for the current estimated delivery date.,curated_project_dataset,train
119,Finance,bank_account,Can I open a bank account online? (request 92),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train
120,Finance,loan_information,What documents are required for a loan? (request 75),"Requirements depend on the lender and loan type. Commonly requested documents may include identity, income, and address information.",curated_project_dataset,train
121,E-commerce,track_order,I need help with this: Where is my order?,I can help with order tracking. Please provide your order number or tracking details.,curated_project_dataset,train
122,Healthcare,appointment_booking,I need help with this: How can I book a doctor appointment?,"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train
123,E-commerce,track_order,How can I track my package?,Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train
124,E-commerce,cancel_order,How do I stop an order before it ships? (request 52),Open your order details and select cancellation if the option is still available.,curated_project_dataset,train
125,E-commerce,return_order,How do I return a product? (request 65),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train
126,Finance,transaction_issue,Why is my transaction not showing? (request 67),Transaction updates can take time depending on the transaction type. Check again later and contact your bank if the expected posting time has passed.,curated_project_dataset,train
127,Finance,bank_account,What documents are needed to open an account? (request 82),Requirements vary by bank and account type. Check the bank's official documentation for current identity and address requirements.,curated_project_dataset,train
128,Finance,transfer_pending,When will my pending transfer be completed? (request 76),Processing time varies by bank and transfer type. Check the transaction status for the latest update.,curated_project_dataset,train
129,Finance,transfer_pending,Why is my transfer still pending? (request 66),A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,train
130,Finance,lost_or_stolen_card,Could you help me? Someone stole my card,"If your card is lost or stolen, block it immediately through your bank's official app or contact the bank's customer support.",curated_project_extension,train
131,E-commerce,damaged_product,I received a broken product (request 11),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,test
132,Healthcare,appointment_cancel,I want to know: I need to cancel my doctor's appointment.,Please open your appointment details and select the cancellation option. Check the provider's cancellation policy for any applicable conditions.,curated_project_dataset,train
133,Finance,credit_card,I need help with my credit card (request 72),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,test
134,Finance,transfer_failed,The transfer was unsuccessful (request 32),Please review the transaction details and any error message. Your bank can provide the exact reason if the transaction was rejected.,curated_project_dataset,test
135,E-commerce,product_information,Can you help me with this? Where can I find product specifications?,Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,train
136,Finance,balance_inquiry,I want to know my bank balance (request 79),Please check the balance section of your official banking app or online banking account.,curated_project_dataset,train
137,Healthcare,lab_test,Where can I get my blood test done? (request 66),You can use an authorized laboratory or collection center. Follow the test-specific preparation instructions provided by your healthcare provider.,curated_project_dataset,train
138,Healthcare,prescription,Where can I find my prescription? (request 69),Your prescription may be available in your healthcare account or provided by your doctor. Check your medical records or contact the clinic.,curated_project_dataset,train
139,Finance,balance_inquiry,What is my account balance? (request 57),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train
140,Healthcare,health_insurance,I want to know: I need information about health insurance.,"Please specify whether you need help with coverage, claims, eligibility, or policy information so the appropriate guidance can be provided.",curated_project_dataset,train
141,Finance,transaction_issue,Why is my transaction not showing? (request 87),Transaction updates can take time depending on the transaction type. Check again later and contact your bank if the expected posting time has passed.,curated_project_dataset,train
142,E-commerce,return_order,How do I return a product? (request 89),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train
143,E-commerce,track_order,I need help with this: How can I track my package?,Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,test
144,E-commerce,account_issue,How do I update my account details? (request 47),"Open your account settings and edit the available profile information, then save the changes.",curated_project_dataset,test
145,E-commerce,return_order,Can I return my product? (request 75),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train
146,E-commerce,refund,When will I get my refund? (request 61),Refund timing depends on the payment method and seller's processing time. Check your order's refund status for the latest update.,curated_project_dataset,train
147,Healthcare,appointment_cancel,I need to cancel my doctor's appointment (request 66),Please open your appointment details and select the cancellation option. Check the provider's cancellation policy for any applicable conditions.,curated_project_dataset,train
148,Finance,card_payment,Why did my card payment fail? (request 94),"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,train
149,Healthcare,appointment_cancel,Please cancel my consultation.,I can guide you through cancellation. Open the appointment record and choose Cancel Appointment.,curated_project_dataset,train
150,E-commerce,account_issue,How do I update my account details? (request 59),"Open your account settings and edit the available profile information, then save the changes.",curated_project_dataset,train
151,Healthcare,symptoms_information,I want information about my symptoms (request 48),"I can provide general health information, but a clinician should evaluate symptoms to determine the appropriate diagnosis and treatment.",curated_project_dataset,train
152,E-commerce,account_issue,Please help me: How do I update my account details?,"Open your account settings and edit the available profile information, then save the changes.",curated_project_dataset,train
153,E-commerce,account_issue,I cannot access my shopping account (request 45),"Use the account recovery or password-reset option. If you still cannot sign in, contact customer support through the official channel.",curated_project_dataset,train
154,Finance,balance_inquiry,I want to know my bank balance (request 67),Please check the balance section of your official banking app or online banking account.,curated_project_dataset,train
155,E-commerce,delivery_time,Can I know the expected delivery date? (request 39),Yes. Check your order details for the current estimated delivery date.,curated_project_dataset,train
156,E-commerce,refund,My refund has not arrived (request 42),"Please check the refund status and original payment method. If the stated processing period has passed, contact customer support with your order details.",curated_project_dataset,train
157,Finance,fraud_transaction,I think my account has been compromised (request 32),"Contact your bank immediately through an official channel, secure your account credentials, and follow its instructions for protecting the account.",curated_project_dataset,train
158,Healthcare,appointment_booking,I need to schedule a consultation (request 74),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,test
159,E-commerce,damaged_product,My product arrived damaged (request 93),"Please take photos of the damaged item and packaging, then report the issue through the order's return or support process as soon as possible.",curated_project_dataset,train
160,Healthcare,medication_information,How should I learn about my prescribed medicine? (request 27),"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,train
161,Healthcare,symptoms_information,I have been feeling unwell. What should I do? (request 43),"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train
162,Finance,balance_inquiry,I want to know: I want to know my bank balance. Can you guide me?,Please check the balance section of your official banking app or online banking account.,curated_project_dataset,train
163,Healthcare,appointment_reschedule,Can I change my appointment time? (request 17),"Yes. If another slot is available, you can reschedule the appointment from your booking details.",curated_project_dataset,train
164,Finance,fraud_transaction,I think my account has been compromised.,"Contact your bank immediately through an official channel, secure your account credentials, and follow its instructions for protecting the account.",curated_project_dataset,train
165,Healthcare,medical_report,How do I download my lab report? (request 44),"If online access is provided, sign in to the patient portal and look under reports or test results.",curated_project_dataset,train
166,Healthcare,medical_report,Please help me: How do I download my lab report?,"If online access is provided, sign in to the patient portal and look under reports or test results.",curated_project_dataset,train
167,Finance,card_payment,Why did my card payment fail? (request 98),"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,train
168,Finance,loan_information,How can I apply for a loan? (request 65),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,test
169,Finance,loan_information,I need information about a personal loan. Can you guide me?,"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train
170,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 99),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train
171,Finance,balance_inquiry,What is my account balance? (request 77),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train
172,Finance,transaction_issue,I need help with a bank transaction (request 44),Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,train
173,E-commerce,damaged_product,What should I do if my item is damaged? (request 94),"Keep the product and packaging, document the damage with photos, and submit a damage claim or return request through the order details.",curated_project_dataset,train
174,Finance,transaction_issue,I need help with a bank transaction. Can you guide me?,Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,train
175,Finance,bank_account,Can you help me with this? Can I open a bank account online? Can you guide me?,"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,test
176,Healthcare,appointment_booking,Can I make an appointment for tomorrow? (request 35),"Yes, if appointments are available. Please select the doctor and check tomorrow's available time slots.",curated_project_dataset,train
177,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 55),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train
178,Healthcare,appointment_booking,I need to schedule a consultation (request 82),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,test
179,Healthcare,medication_information,How should I learn about my prescribed medicine? (request 75),"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,train
180,Healthcare,health_insurance,Does my health insurance cover this treatment? (request 57),"Coverage depends on your insurance plan, provider network, and policy terms. Check your policy or contact your insurer for confirmation.",curated_project_dataset,train
181,Finance,transfer_pending,When will my pending transfer be completed? (request 88),Processing time varies by bank and transfer type. Check the transaction status for the latest update.,curated_project_dataset,train
182,Finance,balance_inquiry,Can I check my balance online? (request 40),Yes. Most banks provide balance information through their official online banking or mobile application.,curated_project_dataset,test
183,Finance,transfer_pending,My bank transfer has not completed (request 27),"Please check the transfer status and expected processing time. If it remains pending longer than expected, contact your bank.",curated_project_dataset,train
184,E-commerce,refund,My refund has not arrived (request 14),"Please check the refund status and original payment method. If the stated processing period has passed, contact customer support with your order details.",curated_project_dataset,train
185,E-commerce,track_order,How can I track my package? (request 14),Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train
