id,domain,intent,user_query,response,source,split
34,Finance,credit_card,I need help with my credit card (request 52),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,train
35,Healthcare,appointment_reschedule,How can I change my consultation date? (request 92),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,train
36,Healthcare,medical_report,Can you explain my medical report? (request 82),"I can explain general medical terminology, but a healthcare professional should interpret your results in the context of your symptoms and medical history.",curated_project_dataset,train
37,Finance,transfer_failed,My money transfer failed (request 45),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train
38,Healthcare,symptoms_information,Please help me: I have been feeling unwell. What should I do?,"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train
39,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 99),You can reschedule if the provider has an available slot next week.,curated_project_dataset,train
40,E-commerce,return_order,Can I return my product? (request 99),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train
41,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 95),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train
42,Healthcare,appointment_booking,I want to see a doctor (request 64),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train
43,Healthcare,symptoms_information,Can you tell me what my symptoms mean? (request 94),Symptoms can have many possible causes. Please consult a healthcare professional for an appropriate evaluation rather than relying on a chatbot for diagnosis.,curated_project_dataset,test
44,Healthcare,medical_report,How do I download my lab report? (request 28),"If online access is provided, sign in to the patient portal and look under reports or test results.",curated_project_dataset,train
45,E-commerce,product_information,Is this item available? (request 84),Check the product page for the latest stock status. Availability can change quickly.,curated_project_dataset,train
46,E-commerce,product_information,Is this item available? (request 48),Check the product page for the latest stock status. Availability can change quickly.,curated_project_dataset,train
47,Finance,card_payment,Why did my card payment fail? (request 26),"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,validation
48,Healthcare,appointment_booking,Please help me: Can I make an appointment for tomorrow?,"Yes, if appointments are available. Please select the doctor and check tomorrow's available time slots.",curated_project_dataset,train
49,Finance,cash_withdrawal,My ATM transaction failed (request 68),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train
50,E-commerce,delivery_time,When will my order be delivered?,The estimated delivery date is usually shown in your order details and may depend on your location and shipping method.,curated_project_dataset,train
51,E-commerce,track_order,What is the status of my order? (request 91),Please provide your order number so the current delivery status can be checked.,curated_project_dataset,train
52,Finance,transfer_failed,Can you help me with this? The transfer was unsuccessful. Can you guide me?,Please review the transaction details and any error message. Your bank can provide the exact reason if the transaction was rejected.,curated_project_dataset,train
53,Healthcare,appointment_reschedule,How can I change my consultation date?,Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,train
54,Finance,card_payment,Please help me: I cannot pay with my card. Can you guide me?,"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,train
55,Healthcare,appointment_cancel,How do I cancel my appointment? (request 53),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
56,Finance,fraud_transaction,Someone may have used my card.,"Contact your card issuer immediately using the official number or app, secure your account, and follow the issuer's instructions for reporting suspected fraud.",curated_project_dataset,train
57,E-commerce,refund,I want to know my refund status (request 60),Please provide your order details or check the refund section of your account for the latest status.,curated_project_dataset,test
58,Healthcare,medical_report,Where can I see my medical report? (request 73),"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,train
59,Finance,bank_account,I want to open a new bank account (request 79),Choose an appropriate account type and follow the bank's official application process. You may need identity and address documents.,curated_project_dataset,train
60,E-commerce,track_order,How can I track my package?,Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train
61,Healthcare,medical_report,Can you help me with this? I received my test report. What does it mean?,"Please discuss the report with your healthcare professional, who can interpret the findings using your clinical history and examination.",curated_project_dataset,train
62,Healthcare,lab_test,I want to know: How do I book a lab test?,"Select the required test, choose an available laboratory or collection service, and confirm the appointment if booking is available.",curated_project_dataset,train
63,Healthcare,health_insurance,Can I use insurance for my hospital visit? (request 43),This depends on your plan and the healthcare provider. Confirm eligibility and any pre-authorization requirements with your insurer.,curated_project_dataset,train
64,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 67),You can reschedule if the provider has an available slot next week.,curated_project_dataset,train
65,Healthcare,appointment_booking,I want to see a doctor (request 52),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train
66,E-commerce,cancel_order,How do I stop an order before it ships? (request 96),Open your order details and select cancellation if the option is still available.,curated_project_dataset,train
67,E-commerce,return_order,Can I return my product? (request 71),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train
68,E-commerce,payment_failed,My card payment did not go through (request 92),Please verify your card details and contact your bank if the transaction continues to be declined.,curated_project_dataset,test
69,E-commerce,product_information,Where can I find product specifications? (request 83),Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,train
70,Healthcare,prescription,Can I get a copy of my prescription? (request 22),"You can request a copy from your prescribing doctor or healthcare provider, subject to their procedures.",curated_project_dataset,validation
71,E-commerce,delivery_time,Can I know the expected delivery date? (request 95),Yes. Check your order details for the current estimated delivery date.,curated_project_dataset,validation
72,Finance,bank_account,Can I open a bank account online? (request 64),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train
73,Finance,loan_information,How can I apply for a loan? (request 49),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train
74,E-commerce,account_issue,Please help me: I forgot my account password.,Use the password-reset option associated with your account email or phone number.,curated_project_dataset,test
75,Healthcare,appointment_cancel,Can I cancel my appointment today?,"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train
76,Healthcare,lab_test,I need information about a medical test (request 96),"Please provide the test name. Preparation, timing, and interpretation can vary by test.",curated_project_dataset,train
77,Finance,transaction_issue,There is a problem with my transaction (request 33),"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,train
78,Finance,loan_information,How can I apply for a loan? (request 25),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train
79,Finance,balance_inquiry,What is my account balance? (request 73),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train
80,Finance,card_payment,I cannot pay with my card (request 83),"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,train
81,E-commerce,wrong_product,The product I received is not what I ordered (request 43),Please report the mismatch through customer support or the order return process so the issue can be investigated.,curated_project_dataset,train
82,E-commerce,wrong_product,The product I received is not what I ordered (request 31),Please report the mismatch through customer support or the order return process so the issue can be investigated.,curated_project_dataset,train
83,Healthcare,medical_report,I received my test report. What does it mean? (request 95),"Please discuss the report with your healthcare professional, who can interpret the findings using your clinical history and examination.",curated_project_dataset,train
84,E-commerce,wrong_product,Can you help me with this? I received the wrong item.,Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,train
85,Finance,transfer_pending,Why is my transfer still pending?,A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,validation
86,Healthcare,appointment_cancel,How do I cancel my appointment? (request 45),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
87,Finance,cash_withdrawal,The ATM did not give me cash (request 26),"If your account was debited, keep the ATM receipt or transaction details and contact your bank immediately for investigation.",curated_project_dataset,train
88,E-commerce,refund,How does a product refund work? (request 31),"After the return or cancellation is approved, the refund is generally processed to the original payment method, subject to the seller's policy.",curated_project_dataset,train
89,Finance,card_payment,Why did my card payment fail? (request 78),"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,train
90,Finance,credit_card,What is my credit card limit? (request 82),"Your current credit limit is available through your card issuer's official app, online account, statement, or customer service.",curated_project_dataset,test
91,Healthcare,symptoms_information,Can you help me with this? Can you tell me what my symptoms mean?,Symptoms can have many possible causes. Please consult a healthcare professional for an appropriate evaluation rather than relying on a chatbot for diagnosis.,curated_project_dataset,train
92,E-commerce,return_order,I want to return something I bought (request 62),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train
93,Finance,card_payment,I want to know: I cannot pay with my card. Can you guide me?,"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,test
94,E-commerce,return_order,I want to return something I bought (request 70),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train
95,E-commerce,damaged_product,My product arrived damaged (request 61),"Please take photos of the damaged item and packaging, then report the issue through the order's return or support process as soon as possible.",curated_project_dataset,validation
96,Healthcare,medication_information,What is this medicine used for? (request 17),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,validation
97,Finance,bank_account,Can I open a bank account online? (request 32),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train
98,Finance,balance_inquiry,Can I check my balance online? (request 92),Yes. Most banks provide balance information through their official online banking or mobile application.,curated_project_dataset,train
99,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 75),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train
100,E-commerce,damaged_product,What should I do if my item is damaged? (request 26),"Keep the product and packaging, document the damage with photos, and submit a damage claim or return request through the order details.",curated_project_dataset,train
101,Finance,transfer_failed,The transfer was unsuccessful (request 76),Please review the transaction details and any error message. Your bank can provide the exact reason if the transaction was rejected.,curated_project_dataset,train
102,Healthcare,appointment_booking,I need to schedule a consultation (request 46),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,train
103,Healthcare,lab_test,Where can I get my blood test done? (request 86),You can use an authorized laboratory or collection center. Follow the test-specific preparation instructions provided by your healthcare provider.,curated_project_dataset,train
104,E-commerce,delivery_time,I want to know: Do you offer fast delivery?,"Available delivery speeds depend on the product, seller, location, and shipping options shown at checkout.",curated_project_dataset,train
105,E-commerce,return_order,What is the process for returning an item? (request 32),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,train
106,Healthcare,health_insurance,Can I use insurance for my hospital visit? (request 63),This depends on your plan and the healthcare provider. Confirm eligibility and any pre-authorization requirements with your insurer.,curated_project_dataset,train
107,E-commerce,account_issue,I forgot my account password (request 66),Use the password-reset option associated with your account email or phone number.,curated_project_dataset,train
108,Healthcare,symptoms_information,I want information about my symptoms (request 32),"I can provide general health information, but a clinician should evaluate symptoms to determine the appropriate diagnosis and treatment.",curated_project_dataset,train
109,Healthcare,appointment_booking,I need to schedule a consultation (request 94),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,test
110,E-commerce,delivery_time,How long does delivery take? (request 42),"Delivery time varies by location, seller, and shipping option. Check the estimated delivery date shown during checkout or in your order.",curated_project_dataset,train
111,Finance,fraud_transaction,There is a suspicious transaction on my account (request 87),Review the transaction and report it to your bank promptly if you did not authorize it. Use only official banking contact channels.,curated_project_dataset,train
112,Healthcare,prescription,I lost my prescription. What should I do? (request 7),Contact the prescribing healthcare provider or pharmacist. They can advise whether a replacement or copy can be issued.,curated_project_dataset,train
113,Finance,fraud_transaction,I want to know: Someone may have used my card. Can you guide me?,"Contact your card issuer immediately using the official number or app, secure your account, and follow the issuer's instructions for reporting suspected fraud.",curated_project_dataset,train
114,Finance,transfer_pending,Why is my transfer still pending? (request 46),A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,train
115,Healthcare,medication_information,I want information about my medication (request 96),Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train
116,Finance,transfer_failed,My money transfer failed (request 33),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train
117,Healthcare,appointment_booking,How can I book a doctor appointment?,"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train
118,Healthcare,symptoms_information,I need help with this: I have been feeling unwell. What should I do?,"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train
119,E-commerce,return_order,How do I return a product? (request 73),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,validation
120,E-commerce,account_issue,I forgot my account password (request 42),Use the password-reset option associated with your account email or phone number.,curated_project_dataset,test
121,Finance,fraud_transaction,I think my account has been compromised (request 68),"Contact your bank immediately through an official channel, secure your account credentials, and follow its instructions for protecting the account.",curated_project_dataset,train
122,E-commerce,refund,I want to know: When will I get my refund?,Refund timing depends on the payment method and seller's processing time. Check your order's refund status for the latest update.,curated_project_dataset,train
123,Healthcare,medical_report,How do I download my lab report? (request 56),"If online access is provided, sign in to the patient portal and look under reports or test results.",curated_project_dataset,train
124,E-commerce,damaged_product,I received a broken product (request 71),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train
125,E-commerce,return_order,How do I return a product?,"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train
126,Finance,transfer_failed,I cannot send money (request 75),"Verify the recipient details and available balance, then try again. If the transfer still fails, contact your bank.",curated_project_dataset,train
127,E-commerce,account_issue,My account is not working (request 92),"Try signing out and back in or resetting your password. If the problem continues, contact customer support.",curated_project_dataset,train
128,Healthcare,health_insurance,I need information about health insurance (request 80),"Please specify whether you need help with coverage, claims, eligibility, or policy information so the appropriate guidance can be provided.",curated_project_dataset,train
129,Healthcare,medical_report,Can you explain my medical report? (request 66),"I can explain general medical terminology, but a healthcare professional should interpret your results in the context of your symptoms and medical history.",curated_project_dataset,train
130,Healthcare,emergency_guidance,This feels like an emergency (request 28),"Please seek immediate emergency medical assistance. If possible, have someone stay with you while help is arranged.",curated_project_dataset,train
131,Finance,transaction_issue,My transaction looks incorrect (request 78),"Please verify the amount, date, and transaction details. If you do not recognize or agree with the transaction, contact your bank promptly.",curated_project_dataset,train
132,E-commerce,refund,How does a product refund work? (request 75),"After the return or cancellation is approved, the refund is generally processed to the original payment method, subject to the seller's policy.",curated_project_dataset,train
133,E-commerce,wrong_product,The product I received is not what I ordered (request 15),Please report the mismatch through customer support or the order return process so the issue can be investigated.,curated_project_dataset,train
134,E-commerce,damaged_product,I received a broken product (request 99),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train
135,Healthcare,emergency_guidance,I have a severe medical problem. What should I do? (request 30),"Seek urgent medical attention immediately, especially if symptoms are severe, sudden, or life-threatening.",curated_project_dataset,train
136,Healthcare,medication_information,What is this medicine used for? (request 37),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train
137,Healthcare,appointment_cancel,How do I cancel my appointment? (request 97),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
138,E-commerce,damaged_product,I received a broken product (request 63),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,validation
139,E-commerce,track_order,Where is my order? (request 65),I can help with order tracking. Please provide your order number or tracking details.,curated_project_dataset,train
140,Finance,transaction_issue,Why is my transaction not showing? (request 43),Transaction updates can take time depending on the transaction type. Check again later and contact your bank if the expected posting time has passed.,curated_project_dataset,validation
141,Finance,cash_withdrawal,I could not withdraw cash (request 29),"Check whether your card is active and whether you have sufficient available balance. If the ATM charged you without dispensing cash, contact your bank promptly.",curated_project_dataset,train
142,E-commerce,return_order,How do I return a product? (request 69),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train
143,Finance,transaction_issue,Please help me: I need help with a bank transaction. Can you guide me?,Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,validation
144,Finance,loan_information,How do I check loan eligibility? (request 80),"Eligibility depends on the lender's criteria, which may include income, credit history, employment, and existing obligations.",curated_project_dataset,train
145,Finance,balance_inquiry,How can I check my balance? (request 26),Use your bank's official app or online banking service to view your current account balance.,curated_project_dataset,validation
146,Healthcare,medication_information,How should I learn about my prescribed medicine? (request 51),"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,train
147,Finance,transfer_failed,My money transfer failed (request 65),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train
148,Finance,transaction_issue,There is a problem with my transaction (request 73),"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,train
149,Finance,transfer_pending,I need help with this: My money transfer is pending. Can you guide me?,Pending transfers can take time depending on the bank and transfer type. Please check the transaction status and contact your bank if it remains pending beyond the expected processing period.,curated_project_dataset,train
150,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 71),You can reschedule if the provider has an available slot next week.,curated_project_dataset,train
151,E-commerce,wrong_product,I received the wrong item (request 41),Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,train
152,Finance,fraud_transaction,There is a suspicious transaction on my account (request 35),Review the transaction and report it to your bank promptly if you did not authorize it. Use only official banking contact channels.,curated_project_dataset,validation
153,Healthcare,emergency_guidance,When should I seek emergency care? (request 79),"Emergency care may be needed for severe or rapidly worsening symptoms. When in doubt about a potentially serious condition, seek immediate professional medical help.",curated_project_dataset,train
154,Finance,transfer_failed,I cannot send money (request 67),"Verify the recipient details and available balance, then try again. If the transfer still fails, contact your bank.",curated_project_dataset,train
155,Healthcare,symptoms_information,I have been feeling unwell. What should I do? (request 55),"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train
156,E-commerce,wrong_product,I received the wrong item (request 77),Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,test
157,Healthcare,appointment_cancel,How do I cancel my appointment? (request 85),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
158,Finance,loan_information,How can I apply for a loan? (request 45),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train
159,E-commerce,delivery_time,Can I know the expected delivery date? (request 15),Yes. Check your order details for the current estimated delivery date.,curated_project_dataset,train
160,Finance,loan_information,How do I check loan eligibility? (request 60),"Eligibility depends on the lender's criteria, which may include income, credit history, employment, and existing obligations.",curated_project_dataset,train
161,E-commerce,damaged_product,Can you help me with this? I received a broken product.,Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train
162,E-commerce,wrong_product,My order contains a different product (request 62),Start a return or replacement request for the incorrect item and follow the seller's instructions.,curated_project_dataset,train
163,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 47),You can reschedule if the provider has an available slot next week.,curated_project_dataset,validation
164,Healthcare,prescription,How do I view my prescription? (request 56),"If your provider offers online records, sign in to your healthcare account and open the prescription or medication section.",curated_project_dataset,train
165,E-commerce,damaged_product,My product arrived damaged (request 53),"Please take photos of the damaged item and packaging, then report the issue through the order's return or support process as soon as possible.",curated_project_dataset,train
166,E-commerce,refund,When will I get my refund? (request 65),Refund timing depends on the payment method and seller's processing time. Check your order's refund status for the latest update.,curated_project_dataset,test
167,Healthcare,appointment_booking,I want to see a doctor (request 68),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train
168,Finance,bank_account,Please help me: I want to open a new bank account. Can you guide me?,Choose an appropriate account type and follow the bank's official application process. You may need identity and address documents.,curated_project_dataset,train
169,Finance,balance_inquiry,What is my account balance? (request 85),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train
170,Healthcare,prescription,Where can I find my prescription? (request 33),Your prescription may be available in your healthcare account or provided by your doctor. Check your medical records or contact the clinic.,curated_project_dataset,train
171,Finance,credit_card,What is my credit card limit? (request 74),"Your current credit limit is available through your card issuer's official app, online account, statement, or customer service.",curated_project_dataset,validation
172,Finance,loan_information,Please help me: I need information about a personal loan. Can you guide me?,"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train
173,E-commerce,product_information,Where can I find product specifications?,Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,train
174,Healthcare,medical_report,Can you explain my medical report? (request 62),"I can explain general medical terminology, but a healthcare professional should interpret your results in the context of your symptoms and medical history.",curated_project_dataset,train
175,Finance,loan_information,How can I apply for a loan? (request 53),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train
176,E-commerce,return_order,What is the process for returning an item? (request 12),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,test
177,Finance,balance_inquiry,Can I check my balance online? (request 44),Yes. Most banks provide balance information through their official online banking or mobile application.,curated_project_dataset,train
178,E-commerce,damaged_product,What should I do if my item is damaged? (request 94),"Keep the product and packaging, document the damage with photos, and submit a damage claim or return request through the order details.",curated_project_dataset,train
179,Healthcare,prescription,How do I view my prescription? (request 36),"If your provider offers online records, sign in to your healthcare account and open the prescription or medication section.",curated_project_dataset,train
180,E-commerce,damaged_product,I received a broken product (request 47),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train
181,Healthcare,medication_information,I want information about my medication (request 64),Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train
182,Finance,bank_account,What documents are needed to open an account? (request 78),Requirements vary by bank and account type. Check the bank's official documentation for current identity and address requirements.,curated_project_dataset,test
183,E-commerce,wrong_product,I got the wrong product. What should I do? (request 40),"Keep the item and packaging, then submit an incorrect-item request through your order details.",curated_project_dataset,train
184,Finance,credit_card,How do I pay my credit card bill? (request 63),"You can usually pay through the issuer's official app, online banking, bank transfer, or another supported payment method.",curated_project_dataset,train
185,Healthcare,appointment_cancel,How do I cancel my appointment? (request 25),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
186,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 79),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train
187,Healthcare,appointment_cancel,How do I cancel my appointment? (request 93),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train
