id,domain,intent,user_query,response,source,split,intent_id,domain_id
14,E-commerce,damaged_product,The package arrived damaged (request 64),Document the package condition and contact customer support or the seller with your order number and photos.,curated_project_dataset,train,10,0
15,Finance,loan_information,How can I apply for a loan? (request 77),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train,16,1
16,Healthcare,emergency_guidance,What should I do in a medical emergency?,"For a serious or life-threatening emergency, seek immediate emergency medical care or contact your local emergency service. Do not rely on a chatbot for emergency treatment.",curated_project_dataset,test,12,2
17,E-commerce,track_order,How can I track my package? (request 74),Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train,26,0
18,Healthcare,medication_information,What is this medicine used for? (request 73),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train,19,2
19,Finance,loan_information,What documents are required for a loan? (request 39),"Requirements depend on the lender and loan type. Commonly requested documents may include identity, income, and address information.",curated_project_dataset,train,16,1
20,Finance,cash_withdrawal,Why did my cash withdrawal fail? (request 47),"A withdrawal may fail because of insufficient funds, card restrictions, ATM issues, or withdrawal limits.",curated_project_dataset,test,8,1
21,Healthcare,appointment_booking,How can I book a doctor appointment? (request 45),"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train,1,2
22,Healthcare,appointment_reschedule,I need to reschedule my doctor's visit (request 90),"Open your appointment and select Reschedule, then choose another available date and time.",curated_project_dataset,train,3,2
23,Healthcare,emergency_guidance,I want to know: What should I do in a medical emergency?,"For a serious or life-threatening emergency, seek immediate emergency medical care or contact your local emergency service. Do not rely on a chatbot for emergency treatment.",curated_project_dataset,validation,12,2
24,Finance,transfer_pending,When will my pending transfer be completed? (request 84),Processing time varies by bank and transfer type. Check the transaction status for the latest update.,curated_project_dataset,train,29,1
25,E-commerce,refund,When will I get my refund? (request 61),Refund timing depends on the payment method and seller's processing time. Check your order's refund status for the latest update.,curated_project_dataset,train,23,0
26,Finance,credit_card,I need help with my credit card (request 96),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,train,9,1
27,Finance,bank_account,Can I open a bank account online?,"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,validation,5,1
28,E-commerce,return_order,Can I return my product? (request 27),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train,24,0
29,Healthcare,appointment_reschedule,Can I change my appointment time? (request 97),"Yes. If another slot is available, you can reschedule the appointment from your booking details.",curated_project_dataset,train,3,2
30,E-commerce,return_order,I want to return something I bought (request 42),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,test,24,0
31,E-commerce,track_order,Please help me: How can I track my package?,Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train,26,0
32,E-commerce,delivery_time,How long does delivery take? (request 66),"Delivery time varies by location, seller, and shipping option. Check the estimated delivery date shown during checkout or in your order.",curated_project_dataset,train,11,0
33,Healthcare,medical_report,I received my test report. What does it mean? (request 47),"Please discuss the report with your healthcare professional, who can interpret the findings using your clinical history and examination.",curated_project_dataset,train,18,2
34,Finance,credit_card,I need help with my credit card (request 52),"Please specify whether you need help with payments, limits, transactions, fees, or card access so the appropriate guidance can be provided.",curated_project_dataset,train,9,1
35,Healthcare,appointment_reschedule,How can I change my consultation date? (request 92),Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,train,3,2
36,Healthcare,medical_report,Can you explain my medical report? (request 82),"I can explain general medical terminology, but a healthcare professional should interpret your results in the context of your symptoms and medical history.",curated_project_dataset,train,18,2
37,Finance,transfer_failed,My money transfer failed (request 45),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train,28,1
38,Healthcare,symptoms_information,Please help me: I have been feeling unwell. What should I do?,"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train,25,2
39,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 99),You can reschedule if the provider has an available slot next week.,curated_project_dataset,train,3,2
40,E-commerce,return_order,Can I return my product? (request 99),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train,24,0
41,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 95),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train,2,2
42,Healthcare,appointment_booking,I want to see a doctor (request 64),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train,1,2
43,Healthcare,symptoms_information,Can you tell me what my symptoms mean? (request 94),Symptoms can have many possible causes. Please consult a healthcare professional for an appropriate evaluation rather than relying on a chatbot for diagnosis.,curated_project_dataset,test,25,2
44,Healthcare,medical_report,How do I download my lab report? (request 28),"If online access is provided, sign in to the patient portal and look under reports or test results.",curated_project_dataset,train,18,2
45,E-commerce,product_information,Is this item available? (request 84),Check the product page for the latest stock status. Availability can change quickly.,curated_project_dataset,train,22,0
46,E-commerce,product_information,Is this item available? (request 48),Check the product page for the latest stock status. Availability can change quickly.,curated_project_dataset,train,22,0
47,Finance,card_payment,Why did my card payment fail? (request 26),"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,validation,7,1
48,Healthcare,appointment_booking,Please help me: Can I make an appointment for tomorrow?,"Yes, if appointments are available. Please select the doctor and check tomorrow's available time slots.",curated_project_dataset,train,1,2
49,Finance,cash_withdrawal,My ATM transaction failed (request 68),Check your account and ATM transaction status. Contact your bank if money was debited or the issue continues.,curated_project_dataset,train,8,1
50,E-commerce,delivery_time,When will my order be delivered?,The estimated delivery date is usually shown in your order details and may depend on your location and shipping method.,curated_project_dataset,train,11,0
51,E-commerce,track_order,What is the status of my order? (request 91),Please provide your order number so the current delivery status can be checked.,curated_project_dataset,train,26,0
52,Finance,transfer_failed,Can you help me with this? The transfer was unsuccessful. Can you guide me?,Please review the transaction details and any error message. Your bank can provide the exact reason if the transaction was rejected.,curated_project_dataset,train,28,1
53,Healthcare,appointment_reschedule,How can I change my consultation date?,Use the reschedule option in your appointment details and select a new available date.,curated_project_dataset,train,3,2
54,Finance,card_payment,Please help me: I cannot pay with my card. Can you guide me?,"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,train,7,1
55,Healthcare,appointment_cancel,How do I cancel my appointment? (request 53),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train,2,2
56,Finance,fraud_transaction,Someone may have used my card.,"Contact your card issuer immediately using the official number or app, secure your account, and follow the issuer's instructions for reporting suspected fraud.",curated_project_dataset,train,13,1
57,E-commerce,refund,I want to know my refund status (request 60),Please provide your order details or check the refund section of your account for the latest status.,curated_project_dataset,test,23,0
58,Healthcare,medical_report,Where can I see my medical report? (request 73),"If digital records are available, check your healthcare account or patient portal. Otherwise, contact the healthcare provider that performed the test.",curated_project_dataset,train,18,2
59,Finance,bank_account,I want to open a new bank account (request 79),Choose an appropriate account type and follow the bank's official application process. You may need identity and address documents.,curated_project_dataset,train,5,1
60,E-commerce,track_order,How can I track my package?,Use the tracking link in your order details or provide your order number to check the shipment status.,curated_project_dataset,train,26,0
61,Healthcare,medical_report,Can you help me with this? I received my test report. What does it mean?,"Please discuss the report with your healthcare professional, who can interpret the findings using your clinical history and examination.",curated_project_dataset,train,18,2
62,Healthcare,lab_test,I want to know: How do I book a lab test?,"Select the required test, choose an available laboratory or collection service, and confirm the appointment if booking is available.",curated_project_dataset,train,15,2
63,Healthcare,health_insurance,Can I use insurance for my hospital visit? (request 43),This depends on your plan and the healthcare provider. Confirm eligibility and any pre-authorization requirements with your insurer.,curated_project_dataset,train,14,2
64,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 67),You can reschedule if the provider has an available slot next week.,curated_project_dataset,train,3,2
65,Healthcare,appointment_booking,I want to see a doctor (request 52),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train,1,2
66,E-commerce,cancel_order,How do I stop an order before it ships? (request 96),Open your order details and select cancellation if the option is still available.,curated_project_dataset,train,6,0
67,E-commerce,return_order,Can I return my product? (request 71),"Return eligibility depends on the product, seller policy, and purchase date. Check the return policy associated with your order.",curated_project_dataset,train,24,0
68,E-commerce,payment_failed,My card payment did not go through (request 92),Please verify your card details and contact your bank if the transaction continues to be declined.,curated_project_dataset,test,20,0
69,E-commerce,product_information,Where can I find product specifications? (request 83),Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,train,22,0
70,Healthcare,prescription,Can I get a copy of my prescription? (request 22),"You can request a copy from your prescribing doctor or healthcare provider, subject to their procedures.",curated_project_dataset,validation,21,2
71,E-commerce,delivery_time,Can I know the expected delivery date? (request 95),Yes. Check your order details for the current estimated delivery date.,curated_project_dataset,validation,11,0
72,Finance,bank_account,Can I open a bank account online? (request 64),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train,5,1
73,Finance,loan_information,How can I apply for a loan? (request 49),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train,16,1
74,E-commerce,account_issue,Please help me: I forgot my account password.,Use the password-reset option associated with your account email or phone number.,curated_project_dataset,test,0,0
75,Healthcare,appointment_cancel,Can I cancel my appointment today?,"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train,2,2
76,Healthcare,lab_test,I need information about a medical test (request 96),"Please provide the test name. Preparation, timing, and interpretation can vary by test.",curated_project_dataset,train,15,2
77,Finance,transaction_issue,There is a problem with my transaction (request 33),"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,train,27,1
78,Finance,loan_information,How can I apply for a loan? (request 25),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train,16,1
79,Finance,balance_inquiry,What is my account balance? (request 73),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train,4,1
80,Finance,card_payment,I cannot pay with my card (request 83),"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,train,7,1
81,E-commerce,wrong_product,The product I received is not what I ordered (request 43),Please report the mismatch through customer support or the order return process so the issue can be investigated.,curated_project_dataset,train,30,0
82,E-commerce,wrong_product,The product I received is not what I ordered (request 31),Please report the mismatch through customer support or the order return process so the issue can be investigated.,curated_project_dataset,train,30,0
83,Healthcare,medical_report,I received my test report. What does it mean? (request 95),"Please discuss the report with your healthcare professional, who can interpret the findings using your clinical history and examination.",curated_project_dataset,train,18,2
84,E-commerce,wrong_product,Can you help me with this? I received the wrong item.,Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,train,30,0
85,Finance,transfer_pending,Why is my transfer still pending?,A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,validation,29,1
86,Healthcare,appointment_cancel,How do I cancel my appointment? (request 45),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train,2,2
87,Finance,cash_withdrawal,The ATM did not give me cash (request 26),"If your account was debited, keep the ATM receipt or transaction details and contact your bank immediately for investigation.",curated_project_dataset,train,8,1
88,E-commerce,refund,How does a product refund work? (request 31),"After the return or cancellation is approved, the refund is generally processed to the original payment method, subject to the seller's policy.",curated_project_dataset,train,23,0
89,Finance,card_payment,Why did my card payment fail? (request 78),"A card payment may fail because of insufficient funds, incorrect details, security checks, or merchant restrictions.",curated_project_dataset,train,7,1
90,Finance,credit_card,What is my credit card limit? (request 82),"Your current credit limit is available through your card issuer's official app, online account, statement, or customer service.",curated_project_dataset,test,9,1
91,Healthcare,symptoms_information,Can you help me with this? Can you tell me what my symptoms mean?,Symptoms can have many possible causes. Please consult a healthcare professional for an appropriate evaluation rather than relying on a chatbot for diagnosis.,curated_project_dataset,train,25,2
92,E-commerce,return_order,I want to return something I bought (request 62),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train,24,0
93,Finance,card_payment,I want to know: I cannot pay with my card. Can you guide me?,"Verify that your card is active and has sufficient funds. If payments continue to fail, contact your card issuer.",curated_project_dataset,test,7,1
94,E-commerce,return_order,I want to return something I bought (request 70),You can request a return from the order details if the item meets the seller's return conditions.,curated_project_dataset,train,24,0
95,E-commerce,damaged_product,My product arrived damaged (request 61),"Please take photos of the damaged item and packaging, then report the issue through the order's return or support process as soon as possible.",curated_project_dataset,validation,10,0
96,Healthcare,medication_information,What is this medicine used for? (request 17),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,validation,19,2
97,Finance,bank_account,Can I open a bank account online? (request 32),"Many banks offer online account opening, subject to eligibility and verification requirements. Check your bank's official website.",curated_project_dataset,train,5,1
98,Finance,balance_inquiry,Can I check my balance online? (request 92),Yes. Most banks provide balance information through their official online banking or mobile application.,curated_project_dataset,train,4,1
99,Healthcare,appointment_cancel,Can I cancel my appointment today? (request 75),"Yes, if cancellation is allowed by the provider. Please check your appointment details for the applicable cancellation policy.",curated_project_dataset,train,2,2
100,E-commerce,damaged_product,What should I do if my item is damaged? (request 26),"Keep the product and packaging, document the damage with photos, and submit a damage claim or return request through the order details.",curated_project_dataset,train,10,0
101,Finance,transfer_failed,The transfer was unsuccessful (request 76),Please review the transaction details and any error message. Your bank can provide the exact reason if the transaction was rejected.,curated_project_dataset,train,28,1
102,Healthcare,appointment_booking,I need to schedule a consultation (request 46),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,train,1,2
103,Healthcare,lab_test,Where can I get my blood test done? (request 86),You can use an authorized laboratory or collection center. Follow the test-specific preparation instructions provided by your healthcare provider.,curated_project_dataset,train,15,2
104,E-commerce,delivery_time,I want to know: Do you offer fast delivery?,"Available delivery speeds depend on the product, seller, location, and shipping options shown at checkout.",curated_project_dataset,train,11,0
105,E-commerce,return_order,What is the process for returning an item? (request 32),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,train,24,0
106,Healthcare,health_insurance,Can I use insurance for my hospital visit? (request 63),This depends on your plan and the healthcare provider. Confirm eligibility and any pre-authorization requirements with your insurer.,curated_project_dataset,train,14,2
107,E-commerce,account_issue,I forgot my account password (request 66),Use the password-reset option associated with your account email or phone number.,curated_project_dataset,train,0,0
108,Healthcare,symptoms_information,I want information about my symptoms (request 32),"I can provide general health information, but a clinician should evaluate symptoms to determine the appropriate diagnosis and treatment.",curated_project_dataset,train,25,2
109,Healthcare,appointment_booking,I need to schedule a consultation (request 94),Sure. Please choose the required doctor or specialty and select an available appointment slot.,curated_project_dataset,test,1,2
110,E-commerce,delivery_time,How long does delivery take? (request 42),"Delivery time varies by location, seller, and shipping option. Check the estimated delivery date shown during checkout or in your order.",curated_project_dataset,train,11,0
111,Finance,fraud_transaction,There is a suspicious transaction on my account (request 87),Review the transaction and report it to your bank promptly if you did not authorize it. Use only official banking contact channels.,curated_project_dataset,train,13,1
112,Healthcare,prescription,I lost my prescription. What should I do? (request 7),Contact the prescribing healthcare provider or pharmacist. They can advise whether a replacement or copy can be issued.,curated_project_dataset,train,21,2
113,Finance,fraud_transaction,I want to know: Someone may have used my card. Can you guide me?,"Contact your card issuer immediately using the official number or app, secure your account, and follow the issuer's instructions for reporting suspected fraud.",curated_project_dataset,train,13,1
114,Finance,transfer_pending,Why is my transfer still pending? (request 46),A transfer may remain pending while the bank processes or verifies it. Check the transaction details for the expected processing time.,curated_project_dataset,train,29,1
115,Healthcare,medication_information,I want information about my medication (request 96),Please share the medicine name if you want general information. Do not change the prescribed dose without consulting your healthcare professional.,curated_project_dataset,train,19,2
116,Finance,transfer_failed,My money transfer failed (request 33),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train,28,1
117,Healthcare,appointment_booking,How can I book a doctor appointment?,"You can book an appointment by selecting a doctor, choosing an available date and time, and confirming the booking.",curated_project_dataset,train,1,2
118,Healthcare,symptoms_information,I need help with this: I have been feeling unwell. What should I do?,"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train,25,2
119,E-commerce,return_order,How do I return a product? (request 73),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,validation,24,0
120,E-commerce,account_issue,I forgot my account password (request 42),Use the password-reset option associated with your account email or phone number.,curated_project_dataset,test,0,0
121,Finance,fraud_transaction,I think my account has been compromised (request 68),"Contact your bank immediately through an official channel, secure your account credentials, and follow its instructions for protecting the account.",curated_project_dataset,train,13,1
122,E-commerce,refund,I want to know: When will I get my refund?,Refund timing depends on the payment method and seller's processing time. Check your order's refund status for the latest update.,curated_project_dataset,train,23,0
123,Healthcare,medical_report,How do I download my lab report? (request 56),"If online access is provided, sign in to the patient portal and look under reports or test results.",curated_project_dataset,train,18,2
124,E-commerce,damaged_product,I received a broken product (request 71),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train,10,0
125,E-commerce,return_order,How do I return a product?,"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train,24,0
126,Finance,transfer_failed,I cannot send money (request 75),"Verify the recipient details and available balance, then try again. If the transfer still fails, contact your bank.",curated_project_dataset,train,28,1
127,E-commerce,account_issue,My account is not working (request 92),"Try signing out and back in or resetting your password. If the problem continues, contact customer support.",curated_project_dataset,train,0,0
128,Healthcare,health_insurance,I need information about health insurance (request 80),"Please specify whether you need help with coverage, claims, eligibility, or policy information so the appropriate guidance can be provided.",curated_project_dataset,train,14,2
129,Healthcare,medical_report,Can you explain my medical report? (request 66),"I can explain general medical terminology, but a healthcare professional should interpret your results in the context of your symptoms and medical history.",curated_project_dataset,train,18,2
130,Healthcare,emergency_guidance,This feels like an emergency (request 28),"Please seek immediate emergency medical assistance. If possible, have someone stay with you while help is arranged.",curated_project_dataset,train,12,2
131,Finance,transaction_issue,My transaction looks incorrect (request 78),"Please verify the amount, date, and transaction details. If you do not recognize or agree with the transaction, contact your bank promptly.",curated_project_dataset,train,27,1
132,E-commerce,refund,How does a product refund work? (request 75),"After the return or cancellation is approved, the refund is generally processed to the original payment method, subject to the seller's policy.",curated_project_dataset,train,23,0
133,E-commerce,wrong_product,The product I received is not what I ordered (request 15),Please report the mismatch through customer support or the order return process so the issue can be investigated.,curated_project_dataset,train,30,0
134,E-commerce,damaged_product,I received a broken product (request 99),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train,10,0
135,Healthcare,emergency_guidance,I have a severe medical problem. What should I do? (request 30),"Seek urgent medical attention immediately, especially if symptoms are severe, sudden, or life-threatening.",curated_project_dataset,train,12,2
136,Healthcare,medication_information,What is this medicine used for? (request 37),Medication uses depend on the specific medicine and your circumstances. Check the medicine label or consult a pharmacist or doctor for reliable guidance.,curated_project_dataset,train,19,2
137,Healthcare,appointment_cancel,How do I cancel my appointment? (request 97),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train,2,2
138,E-commerce,damaged_product,I received a broken product (request 63),Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,validation,10,0
139,E-commerce,track_order,Where is my order? (request 65),I can help with order tracking. Please provide your order number or tracking details.,curated_project_dataset,train,26,0
140,Finance,transaction_issue,Why is my transaction not showing? (request 43),Transaction updates can take time depending on the transaction type. Check again later and contact your bank if the expected posting time has passed.,curated_project_dataset,validation,27,1
141,Finance,cash_withdrawal,I could not withdraw cash (request 29),"Check whether your card is active and whether you have sufficient available balance. If the ATM charged you without dispensing cash, contact your bank promptly.",curated_project_dataset,train,8,1
142,E-commerce,return_order,How do I return a product? (request 69),"Open your order details, select the return option if eligible, choose a return reason, and follow the provided instructions.",curated_project_dataset,train,24,0
143,Finance,transaction_issue,Please help me: I need help with a bank transaction. Can you guide me?,Please check the transaction status and reference number. Your bank can investigate account-specific transaction issues.,curated_project_dataset,validation,27,1
144,Finance,loan_information,How do I check loan eligibility? (request 80),"Eligibility depends on the lender's criteria, which may include income, credit history, employment, and existing obligations.",curated_project_dataset,train,16,1
145,Finance,balance_inquiry,How can I check my balance? (request 26),Use your bank's official app or online banking service to view your current account balance.,curated_project_dataset,validation,4,1
146,Healthcare,medication_information,How should I learn about my prescribed medicine? (request 51),"Review the prescription and medication leaflet, and ask your doctor or pharmacist about dosage, interactions, and precautions.",curated_project_dataset,train,19,2
147,Finance,transfer_failed,My money transfer failed (request 65),"Please check the transfer details and your account status. If the problem persists, contact your bank for the specific reason for failure.",curated_project_dataset,train,28,1
148,Finance,transaction_issue,There is a problem with my transaction (request 73),"Review the transaction details and status in your banking account. If the issue is unresolved, contact your bank with the transaction reference.",curated_project_dataset,train,27,1
149,Finance,transfer_pending,I need help with this: My money transfer is pending. Can you guide me?,Pending transfers can take time depending on the bank and transfer type. Please check the transaction status and contact your bank if it remains pending beyond the expected processing period.,curated_project_dataset,train,29,1
150,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 71),You can reschedule if the provider has an available slot next week.,curated_project_dataset,train,3,2
151,E-commerce,wrong_product,I received the wrong item (request 41),Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,train,30,0
152,Finance,fraud_transaction,There is a suspicious transaction on my account (request 35),Review the transaction and report it to your bank promptly if you did not authorize it. Use only official banking contact channels.,curated_project_dataset,validation,13,1
153,Healthcare,emergency_guidance,When should I seek emergency care? (request 79),"Emergency care may be needed for severe or rapidly worsening symptoms. When in doubt about a potentially serious condition, seek immediate professional medical help.",curated_project_dataset,train,12,2
154,Finance,transfer_failed,I cannot send money (request 67),"Verify the recipient details and available balance, then try again. If the transfer still fails, contact your bank.",curated_project_dataset,train,28,1
155,Healthcare,symptoms_information,I have been feeling unwell. What should I do? (request 55),"If symptoms are mild, monitor them and consider contacting a healthcare professional. Seek urgent medical care if symptoms are severe or rapidly worsening.",curated_project_dataset,train,25,2
156,E-commerce,wrong_product,I received the wrong item (request 77),Please report the issue through your order details and provide the order number and photos of the received product if requested.,curated_project_dataset,test,30,0
157,Healthcare,appointment_cancel,How do I cancel my appointment? (request 85),"You can cancel the appointment from your booking details. If cancellation is unavailable online, contact the healthcare provider.",curated_project_dataset,train,2,2
158,Finance,loan_information,How can I apply for a loan? (request 45),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train,16,1
159,E-commerce,delivery_time,Can I know the expected delivery date? (request 15),Yes. Check your order details for the current estimated delivery date.,curated_project_dataset,train,11,0
160,Finance,loan_information,How do I check loan eligibility? (request 60),"Eligibility depends on the lender's criteria, which may include income, credit history, employment, and existing obligations.",curated_project_dataset,train,16,1
161,E-commerce,damaged_product,Can you help me with this? I received a broken product.,Please report the issue promptly through your order support or return process and provide clear photos of the damage.,curated_project_dataset,train,10,0
162,E-commerce,wrong_product,My order contains a different product (request 62),Start a return or replacement request for the incorrect item and follow the seller's instructions.,curated_project_dataset,train,30,0
163,Healthcare,appointment_reschedule,Can I move my appointment to next week? (request 47),You can reschedule if the provider has an available slot next week.,curated_project_dataset,validation,3,2
164,Healthcare,prescription,How do I view my prescription? (request 56),"If your provider offers online records, sign in to your healthcare account and open the prescription or medication section.",curated_project_dataset,train,21,2
165,E-commerce,damaged_product,My product arrived damaged (request 53),"Please take photos of the damaged item and packaging, then report the issue through the order's return or support process as soon as possible.",curated_project_dataset,train,10,0
166,E-commerce,refund,When will I get my refund? (request 65),Refund timing depends on the payment method and seller's processing time. Check your order's refund status for the latest update.,curated_project_dataset,test,23,0
167,Healthcare,appointment_booking,I want to see a doctor (request 68),I can help you schedule a consultation. Please provide the medical specialty or doctor you want to visit.,curated_project_dataset,train,1,2
168,Finance,bank_account,Please help me: I want to open a new bank account. Can you guide me?,Choose an appropriate account type and follow the bank's official application process. You may need identity and address documents.,curated_project_dataset,train,5,1
169,Finance,balance_inquiry,What is my account balance? (request 85),"You can check your current balance through your bank's official mobile app, online banking portal, ATM, or branch.",curated_project_dataset,train,4,1
170,Healthcare,prescription,Where can I find my prescription? (request 33),Your prescription may be available in your healthcare account or provided by your doctor. Check your medical records or contact the clinic.,curated_project_dataset,train,21,2
171,Finance,credit_card,What is my credit card limit? (request 74),"Your current credit limit is available through your card issuer's official app, online account, statement, or customer service.",curated_project_dataset,validation,9,1
172,Finance,loan_information,Please help me: I need information about a personal loan. Can you guide me?,"Personal-loan terms vary by lender, including eligibility, interest rate, tenure, and fees. Review the lender's official terms before applying.",curated_project_dataset,train,16,1
173,E-commerce,product_information,Where can I find product specifications?,Product specifications are usually listed on the product page under the description or specifications section.,curated_project_dataset,train,22,0
174,Healthcare,medical_report,Can you explain my medical report? (request 62),"I can explain general medical terminology, but a healthcare professional should interpret your results in the context of your symptoms and medical history.",curated_project_dataset,train,18,2
175,Finance,loan_information,How can I apply for a loan? (request 53),"Loan eligibility, documents, interest rates, and application procedures vary by lender. Check the lender's official application process.",curated_project_dataset,train,16,1
176,E-commerce,return_order,What is the process for returning an item? (request 12),"Start a return request from your order details, select the reason, and follow the packaging and pickup or drop-off instructions.",curated_project_dataset,test,24,0
177,Finance,balance_inquiry,Can I check my balance online? (request 44),Yes. Most banks provide balance information through their official online banking or mobile application.,curated_project_dataset,train,4,1
178,E-commerce,damaged_product,What should I do if my item is damaged? (request 94),"Keep the product and packaging, document the damage with photos, and submit a damage claim or return request through the order details.",curated_project_dataset,train,10,0
